steps,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
84.0,2509.411470846,231.26341149700002,0.019521833,0.001083074
85.0,2523.6086106840003,231.26341149700002,0.01975013,0.001083074
86.0,2534.9569580770003,231.26341149700002,0.019991838,0.001083074
87.0,2545.126844113,231.26341149700002,0.020225425000000002,0.001083074
88.0,2554.159382698,231.26341149700002,0.020467232000000002,0.001083074
89.0,2562.2286173310004,231.26341149700002,0.020701070000000002,0.001083074
90.0,2569.33861634,231.26341149700002,0.020935147,0.001083074
91.0,2765.632933441,231.26341149700002,0.021161284,0.001083074
92.0,2783.562546775,231.26341149700002,0.021391471,0.001083074
93.0,2800.2480882600003,231.26341149700002,0.021625888,0.001083074
94.0,2815.6751559060003,231.26341149700002,0.021867465,0.001083074
95.0,2829.8754251140003,231.26341149700002,0.022107423,0.001083074
