length,sol_ciph_FD,sol_ciph_LW,sol_exact
64.0,-0.06185404556496012,-0.00587474235328273,-1.8933295548362402e-16
64.0,-0.06894406490901299,-0.005378399378903641,-1.7319121124709863e-16
64.0,-0.07537027685044351,-0.0048300338827300575,-1.5538154097031715e-16
64.0,-0.08106942896877885,-0.004234626033693419,-1.36075461513801e-16
64.0,-0.08598867916059531,-0.0036000136590050046,-1.1545890097649306e-16
64.0,-0.09007995287312409,-0.0029310866875526544,-9.373040810652597e-17
64.0,-0.09330337963795055,-0.0022304681154121536,-7.109924016823996e-17
64.0,-0.09562843130212231,-0.0015145980652548528,-4.7783347680335573e-17
64.0,-0.09703301124639328,-0.0007749727547532367,-2.4007275433234667e-17
64.0,-0.0970320225382104,0.0007084088254031687,2.4007275433234645e-17
64.0,-0.09044528534908271,0.0110441829744009,0.009607359798384757
64.0,-0.08298707412711867,0.0212793426043779,0.019122195469994035
64.0,-0.07472923979510478,0.03130708902015606,0.028452873945971832
64.0,-0.0657521709760491,0.04103482446789156,0.03750953569192694
64.0,-0.056141975955053894,0.050363397114930736,0.046204960104370744
64.0,-0.0459906938672356,0.059209449004591914,0.05445540549280898
64.0,-0.035396484870303724,0.06748564844488436,0.06218141555799884
64.0,-0.024461406070663605,0.07510815250716117,0.06930858459954568
64.0,-0.013291026839177756,0.08201138613527817,0.07576827408347257
64.0,-0.001992765728261608,0.08812469922402234,0.08149827366882387
64.0,0.00932420809608411,0.09338875924594435,0.08644340032725614
64.0,0.020552399353915052,0.09775263619065543,0.09055602978576754
64.0,0.03158206150917221,0.10117648642578557,0.09379655517448067
64.0,0.042308053994765164,0.10362780087147638,0.09613376846245078
64.0,0.0526267546852059,0.10507641006835254,0.09754516100806404
64.0,0.06243763470917506,0.10551618501098846,0.0980171403295605
64.0,0.07164782108251595,0.10493847474496609,0.09754516100806404
64.0,0.08016800970286697,0.10335109881245083,0.09613376846245078
64.0,0.08791658906803475,0.10076738763526175,0.09379655517448066
64.0,0.09481798482260703,0.09721411649395843,0.09055602978576753
64.0,0.10080569293310895,0.09272438047867453,0.08644340032725613
64.0,0.10582292178441409,0.08734230844075591,0.08149827366882384
64.0,0.10982154646751038,0.08111880905696937,0.07576827408347254
64.0,0.11276210939583259,0.0741121162318986,0.06930858459954566
64.0,0.11461693407124146,0.0663936656276787,0.062181415557998776
64.0,0.11536844984901862,0.0580322925121657,0.05445540549280895
64.0,0.11500829760927822,0.049115514047170995,0.04620496010437072
