length,sol_ciph_LW,sol_exact
64.0,0.1555793423801304,0.15080685826836995
64.0,0.14213245341477854,0.1379496896414718
64.0,0.1273167512308292,0.123763990092355
64.0,0.11127491912667244,0.10838637566236982
64.0,0.09416144873573158,0.09196494118473617
64.0,0.07614115210571591,0.07465783405034276
64.0,0.05738757456470897,0.05663173116192101
64.0,0.03808132330565349,0.03806023374435673
64.0,0.01840832809279136,0.019122195469994052
64.0,-0.0014419493850127752,-2.3891673840167845e-17
64.0,-0.0212783401018383,-0.019122195469994097
64.0,-0.04090980877816507,-0.038060233744356776
64.0,-0.060147293625403324,-0.056631731161921064
64.0,-0.07880552715931552,-0.0746578340503428
64.0,-0.09670482038532646,-0.0919649411847362
64.0,-0.11367279332226676,-0.10838637566236986
64.0,-0.12954603512836182,-0.12376399009235504
64.0,-0.14417167779253787,-0.13794968964147183
64.0,-0.15740886839278426,-0.15080685826837004
64.0,-0.1691301255349665,-0.16221167441072928
64.0,-0.17922256711851303,-0.17205430345459197
64.0,-0.18758899740372303,-0.18023995550173738
64.0,-0.19414884310120048,-0.18668979824821896
64.0,-0.1988389293061439,-0.19134171618254533
64.0,-0.20161408792396168,-0.19415090879201194
64.0,-0.20244759266027681,-0.19509032201612872
64.0,-0.20133141641628802,-0.1941509087920119
64.0,-0.1982763085667683,-0.19134171618254533
64.0,-0.1933116914802451,-0.18668979824821896
64.0,-0.18648537712534927,-0.18023995550173738
64.0,-0.17786310664391722,-0.17205430345459194
64.0,-0.16752791722175292,-0.16221167441072926
64.0,-0.15557934237528795,-0.15080685826836998
64.0,-0.14213245341429268,-0.1379496896414718
64.0,-0.1273167512310664,-0.12376399009235504
64.0,-0.11127491913800505,-0.10838637566236986
64.0,-0.09416144873890803,-0.09196494118473617
64.0,-0.07614115211451958,-0.07465783405034278
64.0,-0.057387574568384406,-0.05663173116192105
64.0,-0.038081323319941615,-0.03806023374435671
64.0,-0.01840832809159395,-0.019122195469994056
64.0,0.0021632375952866235,7.109924016824e-17
64.0,0.03130601261894502,0.028452873945971832
64.0,0.06014729362548737,0.056631731161921085
64.0,0.08840932331938964,0.08426519384872745
64.0,0.11581992289546122,0.11108713665473019
64.0,0.14211511330230853,0.1368392496083416
64.0,0.1670416574801546,0.16127352578428175
64.0,0.19035949918608316,0.18415464974584247
64.0,0.2118440748474606,0.20526226376117884
64.0,0.2312884762638554,0.2243930899687278
64.0,0.24850544321883333,0.24136288805413747
64.0,0.2633291669111888,0.25600822958520975
64.0,0.27561688677753954,0.2681880719170425
64.0,0.2852502653522421,0.27778511650980126
64.0,0.2921365279434601,0.28470693857777923
64.0,0.29620935607119014,0.2888868771906092
64.0,0.2974295261678465,0.2902846772544625
64.0,0.29578528733723725,0.2888868771906092
64.0,0.29129247450098406,0.28470693857777923
64.0,0.28399435589943833,0.2777851165098012
64.0,0.2739612164067253,0.2681880719170425
64.0,0.26128968062962454,0.2560082295852097
64.0,0.24610178239656394,0.24136288805413741
64.0,0.22854378946090445,0.22439308996872775
64.0,0.208784794902512,0.20526226376117876
64.0,0.1870150886399493,0.18415464974584228
64.0,0.16344432483434795,0.16127352578428167
64.0,0.1382995028344648,0.1368392496083415
64.0,0.1118227810209743,0.11108713665472998
64.0,0.08426914469776313,0.08426519384872734
64.0,0.05590395044412137,0.05663173116192098
64.0,0.027000370591650082,0.028452873945971856
64.0,-0.0021632375935631307,-3.554962008412e-17
64.0,-0.03130601261814106,-0.028452873945971926
64.0,-0.06014729362680909,-0.05663173116192105
64.0,-0.08840932331614389,-0.08426519384872742
64.0,-0.11581992289523073,-0.11108713665473005
64.0,-0.14211511330291446,-0.1368392496083416
64.0,-0.1670416574836205,-0.16127352578428175
64.0,-0.19035949918095857,-0.18415464974584234
64.0,-0.21184407484636913,-0.2052622637611788
64.0,-0.23128847626357038,-0.22439308996872787
64.0,-0.24850544322057924,-0.24136288805413744
64.0,-0.2633291669079709,-0.25600822958520975
64.0,-0.27561688677585766,-0.2681880719170426
64.0,-0.28525026535161974,-0.27778511650980126
64.0,-0.2921365279368797,-0.28470693857777923
64.0,-0.2962093560643452,-0.2888868771906092
64.0,-0.2974295261596259,-0.2902846772544625
64.0,-0.295785287338,-0.2888868771906091
64.0,-0.2912924745008133,-0.28470693857777923
64.0,-0.28399435590259237,-0.27778511650980126
