steps,L_inf_cipher_plain_LW
205.0,5.442685524492674e-9
206.0,5.433814842525919e-9
207.0,5.437219341430932e-9
208.0,5.446697537436762e-9
209.0,5.4446184227785466e-9
210.0,5.433571370616619e-9
211.0,5.723727491968589e-9
212.0,5.728180263453453e-9
213.0,5.726951024520588e-9
214.0,5.717886719658338e-9
215.0,5.722431417609641e-9
216.0,5.725370622045034e-9
217.0,5.726361052005302e-9
218.0,5.719418383343111e-9
219.0,5.7187465873909105e-9
220.0,5.728392760140366e-9
221.0,6.011908415537448e-9
222.0,6.005108743600829e-9
223.0,6.0070229901398875e-9
224.0,6.016255049701158e-9
225.0,6.009111763738417e-9
226.0,6.003229691131651e-9
227.0,6.0059982542881585e-9
228.0,6.012344844208428e-9
229.0,6.0077250951806604e-9
230.0,5.998919694327753e-9
231.0,6.292983911748706e-9
232.0,6.299692545397306e-9
233.0,6.294237020476601e-9
234.0,6.287409592964366e-9
235.0,6.290745924175667e-9
236.0,6.297952936940021e-9
237.0,6.292428134102579e-9
238.0,6.28282914583167e-9
239.0,6.289529008718375e-9
240.0,6.2997449479240686e-9
241.0,6.581150735485153e-9
242.0,6.570522903537324e-9
243.0,6.58081922289e-9
244.0,6.581526212912081e-9
245.0,6.585390788238499e-9
246.0,6.576632016752626e-9
247.0,6.576679756342685e-9
248.0,6.581238332081796e-9
249.0,6.583374290158872e-9
250.0,6.573252275821062e-9
251.0,6.860926937690692e-9
252.0,6.866313406739266e-9
253.0,6.8639325334629575e-9
254.0,6.855763623470068e-9
255.0,6.858595358316677e-9
256.0,6.867628576934237e-9
